tacticam_track_id,broadcast_track_id,cosine_similarity
7,11,0.8807
8,18,0.8705
9,8,0.8493
10,19,0.8554
11,9,0.8809
12,21,0.8491
13,26,0.8772
14,11,0.869
15,15,0.804
16,8,0.8069
17,8,0.8962
18,11,0.8638
19,11,0.8461
20,21,0.8565
21,21,0.8073
22,14,0.8405
1,8,0.8664
2,19,0.8498
3,15,0.784
4,16,0.8314
5,18,0.8411
6,15,0.8543
7,11,0.9007
8,12,0.8622
9,8,0.8749
10,19,0.8752
11,9,0.897
12,16,0.8651
13,14,0.8448
14,11,0.8696
15,8,0.8502
16,11,0.8223
17,8,0.897
18,11,0.8587
19,11,0.8468
20,21,0.8568
21,8,0.8328
22,14,0.8184
1,16,0.8746
2,11,0.8754
3,16,0.8058
4,26,0.8677
5,11,0.8608
6,15,0.8259
7,11,0.8878
8,12,0.8935
9,8,0.8945
10,19,0.8894
11,9,0.893
12,15,0.874
13,14,0.8646
14,11,0.8538
15,21,0.8373
16,8,0.8408
17,8,0.8531
18,11,0.8862
19,12,0.8814
20,31,0.8311
21,26,0.8772
22,17,0.8321
1,16,0.8736
2,11,0.8235
3,16,0.8652
4,26,0.8916
5,11,0.8672
6,21,0.8205
7,11,0.8744
8,18,0.8829
9,8,0.8821
10,19,0.9067
11,9,0.902
12,15,0.8781
13,26,0.8621
14,11,0.874
15,8,0.8622
16,15,0.8579
17,8,0.8823
18,11,0.8868
19,11,0.8782
20,11,0.851
21,8,0.8823
22,21,0.8146
1,13,0.9074
2,11,0.8813
3,15,0.9229
4,26,0.8974
5,11,0.875
6,21,0.8186
7,11,0.8741
8,12,0.8846
9,8,0.8341
10,19,0.8515
11,9,0.8916
12,15,0.8737
13,26,0.8868
14,11,0.865
15,8,0.843
16,8,0.875
17,8,0.8771
18,11,0.9016
19,11,0.8906
20,11,0.8788
21,8,0.8758
22,17,0.8695
1,16,0.8887
2,11,0.9078
3,8,0.8859
4,26,0.8623
5,11,0.8694
6,21,0.8385
7,18,0.8879
8,12,0.8767
9,8,0.8858
10,18,0.8578
11,9,0.8842
12,16,0.887
13,14,0.8896
14,11,0.8621
15,8,0.851
16,16,0.8682
17,8,0.893
18,11,0.9107
19,9,0.8508
20,11,0.8728
21,16,0.8596
22,31,0.8479
1,16,0.896
2,11,0.8876
3,10,0.8842
4,26,0.8674
5,9,0.8804
6,15,0.8498
7,11,0.8915
8,12,0.8998
9,15,0.8753
10,19,0.8703
11,9,0.8725
12,16,0.8795
13,14,0.8734
14,15,0.8763
15,16,0.8624
16,16,0.8828
17,8,0.8878
18,11,0.8967
19,12,0.8606
20,11,0.8708
21,16,0.8819
22,31,0.8781
1,16,0.8927
2,11,0.8964
3,15,0.9004
4,31,0.8395
5,18,0.9045
6,15,0.8655
7,11,0.8956
8,12,0.8989
9,15,0.8896
10,19,0.8913
11,9,0.8972
12,16,0.8817
13,14,0.9161
14,11,0.8732
15,9,0.8597
16,15,0.8899
17,8,0.9003
18,11,0.9037
19,11,0.8825
20,11,0.8814
21,26,0.8662
22,14,0.861
1,13,0.8765
2,11,0.8887
3,15,0.8611
4,26,0.8943
5,9,0.8837
6,16,0.8569
7,11,0.8974
8,9,0.9168
9,15,0.9097
10,18,0.8895
11,9,0.9169
12,16,0.8785
13,26,0.9264
14,11,0.8922
15,9,0.8558
16,8,0.8462
17,8,0.8856
18,11,0.9116
19,11,0.8624
20,11,0.8729
21,16,0.8549
22,31,0.8569
1,16,0.8745
2,11,0.8827
3,16,0.8983
4,9,0.8662
5,18,0.8992
6,15,0.8756
7,11,0.9034
8,18,0.9161
9,8,0.9034
10,18,0.8942
11,9,0.9192
12,16,0.9242
13,26,0.9174
14,11,0.8946
15,16,0.8917
16,15,0.885
17,8,0.904
18,11,0.906
19,11,0.9043
20,11,0.8865
21,26,0.8807
22,31,0.8737
1,16,0.8654
2,11,0.8981
3,16,0.9068
4,26,0.9228
5,18,0.9052
6,15,0.8743
7,11,0.8973
8,18,0.9085
9,15,0.9018
10,18,0.8998
11,18,0.9056
12,16,0.9238
13,14,0.92
14,11,0.9005
15,26,0.8528
16,8,0.882
17,8,0.8931
18,11,0.9117
19,11,0.8918
20,11,0.8897
21,26,0.9125
22,17,0.8678
1,10,0.8994
2,11,0.8981
3,16,0.9055
4,26,0.8996
5,18,0.9007
6,15,0.8715
7,11,0.9134
8,19,0.9206
9,8,0.8916
10,18,0.9196
11,9,0.8859
12,8,0.8974
13,14,0.8994
14,11,0.8878
15,16,0.8973
16,26,0.8919
17,16,0.8961
18,11,0.8885
19,11,0.8851
20,11,0.9045
21,31,0.8651
22,17,0.9007
1,16,0.9249
2,11,0.8947
3,15,0.9224
4,31,0.8872
5,9,0.8949
6,15,0.8786
7,11,0.9084
8,18,0.9306
9,8,0.909
10,18,0.9166
11,9,0.8928
12,16,0.9018
13,26,0.9046
14,11,0.8975
15,16,0.8849
16,16,0.8834
17,15,0.9094
18,11,0.8957
19,12,0.8946
20,12,0.8979
21,47,0.9055
22,19,0.8629
1,16,0.9164
2,11,0.9098
3,15,0.925
4,31,0.9004
5,19,0.8999
6,15,0.8733
7,18,0.9067
8,18,0.9282
9,8,0.916
10,18,0.9236
11,9,0.9159
12,10,0.8997
13,26,0.896
14,11,0.9176
15,15,0.8982
16,15,0.8783
17,10,0.8971
18,11,0.9179
19,12,0.8855
20,11,0.8991
21,31,0.8992
22,31,0.8703
1,15,0.9091
2,11,0.9049
3,15,0.9119
4,31,0.9232
5,19,0.913
6,16,0.8945
7,18,0.9086
8,18,0.9285
9,16,0.9071
10,18,0.9365
11,9,0.917
12,16,0.9095
13,26,0.8899
14,12,0.9087
15,47,0.9073
16,47,0.8866
17,15,0.9162
18,11,0.9127
19,11,0.8877
20,26,0.9115
21,26,0.9102
22,9,0.8808
1,15,0.9227
2,11,0.9203
3,15,0.906
4,26,0.9178
5,18,0.9187
6,15,0.8905
7,18,0.9
8,18,0.9103
9,16,0.9214
10,18,0.9305
11,9,0.9217
12,15,0.9299
13,31,0.8918
14,11,0.9008
15,16,0.8877
16,16,0.9002
17,8,0.9203
18,11,0.9164
19,9,0.8742
20,9,0.9146
21,15,0.8831
